parent_name,utility_name,respondent_id,year,FERC_class,original_cost,accum_depr,net_plant_balance,ARC,ARC_accum_depr,net_ARC
Southern Co.,Alabama Power Co.,2,2014,intangible,270943294.0,,270943294.0,,,
Southern Co.,Alabama Power Co.,2,2014,nuclear,2556349255.0,1483234228.7123983,1073115026.2876017,129543425.0,42457771.28760164,87085653.71239835
Southern Co.,Alabama Power Co.,2,2014,other_fossil,842303741.0,190156216.0,652147525.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2014,steam,7035103515.0,3061321176.633048,3973782338.366952,51769248.0,877785.3669521892,50891462.63304781
Southern Co.,Alabama Power Co.,2,2014,transmission,3578118926.0,1149488306.043223,2428630619.956777,1366847.0,32784.956777256215,1334062.0432227438
Southern Co.,Alabama Power Co.,2,2013,distribution,5932483507.0,2177097726.1463294,3755385780.8536706,1610009.0,729594.8536705942,880414.1463294058
Southern Co.,Alabama Power Co.,2,2013,general,1236652177.0,600189335.4341432,636462841.5658568,1037865.0,423382.56585676665,614482.4341432333
Southern Co.,Alabama Power Co.,2,2013,hydro,1026809942.0,423474166.0542545,603335775.9457455,4481.0,910.9457455023412,3570.054254497659
Southern Co.,Alabama Power Co.,2,2013,intangible,251009224.0,,251009224.0,,,
Southern Co.,Alabama Power Co.,2,2013,nuclear,2529023134.0,1456534853.7041535,1072488280.2958465,124871209.0,36776824.29584638,88094384.70415363
Southern Co.,Alabama Power Co.,2,2013,other_fossil,834712823.0,169553507.0,665159316.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2013,steam,6801965801.0,2923403456.6667886,3878562344.3332114,1554200.0,759267.333211234,794932.666788766
Southern Co.,Alabama Power Co.,2,2013,transmission,3286854617.0,1153555952.816198,2133298664.183802,85444.0,29142.18380200552,56301.816197994485
Southern Co.,Alabama Power Co.,2,2012,distribution,5712137425.0,2059087893.2137227,3653049531.7862773,1621574.0,637500.7862772028,984073.2137227972
Southern Co.,Alabama Power Co.,2,2012,general,1181660085.0,559554197.0153582,622105887.9846418,1026549.0,371897.98464179377,654651.0153582062
Southern Co.,Alabama Power Co.,2,2012,hydro,1005846526.0,415124194.6817629,590722331.3182371,4481.0,796.3182371288108,3684.681762871189
Southern Co.,Alabama Power Co.,2,2012,intangible,173188175.0,,173188175.0,,,
Southern Co.,Alabama Power Co.,2,2012,nuclear,2486454739.0,1434633596.5337944,1051821142.4662056,22637269.0,34769500.46620567,-12132231.466205671
Southern Co.,Alabama Power Co.,2,2012,other_fossil,830845281.0,179154643.0,651690638.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2012,steam,6762992682.0,2714645749.090747,4048346932.909253,1666638.0,681202.9092532684,985435.0907467316
Southern Co.,Alabama Power Co.,2,2012,transmission,3137238633.0,1094610607.5891733,2042628025.4108267,85444.0,25499.410826754836,59944.589173245164
Southern Co.,Alabama Power Co.,2,2011,distribution,5515374334.0,1932062601.1490984,3583311732.8509016,1633646.0,544911.850901628,1088734.149098372
Southern Co.,Alabama Power Co.,2,2011,general,1115696327.0,530755189.5375799,584941137.4624201,1028373.0,326994.4624201261,701378.5375798739
Southern Co.,Alabama Power Co.,2,2011,hydro,992735069.0,404284807.3092712,588450261.6907288,4481.0,681.6907287552805,3799.3092712447196
Southern Co.,Alabama Power Co.,2,2011,intangible,108729871.0,,108729871.0,,,
Southern Co.,Alabama Power Co.,2,2011,nuclear,2434597581.0,1412923408.1426122,1021674172.8573878,22639056.0,32763900.857387733,-10124844.857387733
Southern Co.,Alabama Power Co.,2,2011,other_fossil,790430689.0,172181781.0,618248908.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2011,steam,6740130050.0,2511831088.405182,4228298961.594818,1830030.0,614992.594818331,1215037.4051816692
Southern Co.,Alabama Power Co.,2,2011,transmission,2997980625.0,1024808187.3621484,1973172437.6378517,85444.0,21856.63785150414,63587.36214849586
Southern Co.,Alabama Power Co.,2,2010,distribution,5265639917.0,1866075970.1574907,3399563946.8425093,1670578.0,459895.8425092744,1210682.1574907256
Southern Co.,Alabama Power Co.,2,2010,general,1090773971.0,507864340.9250835,582909630.0749165,1028373.0,276131.07491648727,752241.9250835127
Southern Co.,Alabama Power Co.,2,2010,hydro,971575789.0,388440688.9367796,583135100.0632204,4481.0,567.0632203817502,3913.9367796182496
Southern Co.,Alabama Power Co.,2,2010,intangible,93981522.0,,93981522.0,,,
Southern Co.,Alabama Power Co.,2,2010,nuclear,2299082154.0,1391392794.786321,907689359.2136791,22690577.0,30830119.21367909,-8139542.21367909
Southern Co.,Alabama Power Co.,2,2010,other_fossil,790206886.0,151863744.0,638343142.0,,-0.0,
Southern Co.,Alabama Power Co.,2,2010,steam,6511810405.0,2302494262.979574,4209316142.020426,2175920.0,598238.0204257814,1577681.9795742186
Southern Co.,Alabama Power Co.,2,2010,transmission,2825988379.0,968888284.1351236,1857100094.8648763,85444.0,18213.86487625345,67230.13512374656
Southern Co.,Alabama Power Co.,2,2009,distribution,5043997876.0,1771908745.3169918,3272089130.683008,1713300.0,374321.6830082896,1338978.3169917103
Southern Co.,Alabama Power Co.,2,2009,general,1046548470.0,487253849.3125872,559294620.6874127,1028373.0,225267.6874128485,803105.3125871515
Southern Co.,Alabama Power Co.,2,2009,hydro,965959368.0,373765045.4899665,592194322.5100335,4529.0,458.5100334941212,4070.489966505879
Southern Co.,Alabama Power Co.,2,2009,intangible,69485401.0,,69485401.0,,,
Southern Co.,Alabama Power Co.,2,2009,nuclear,2249439874.0,1393089338.346516,856350535.6534841,24794513.0,28576671.653484117,-3782158.6534841172
