parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2008,30-60%,owner,101475.98507855233,2032485901.8594515
Southern Co.,Alabama Power Co.,2.0,2008,30-60%,renter,77319.4627304599,1517304344.6628573
Southern Co.,Alabama Power Co.,2.0,2008,60-80%,owner,81177.1380832774,2523409188.5302696
Southern Co.,Alabama Power Co.,2.0,2008,60-80%,renter,44659.987183613455,1362086547.8710845
Southern Co.,Alabama Power Co.,2.0,2008,80-100%,owner,78436.65108113164,3165090964.628864
Southern Co.,Alabama Power Co.,2.0,2008,80-100%,renter,32958.331840158884,1296239917.9377825
Southern Co.,Alabama Power Co.,2.0,2007,0-30%,owner,85456.05303978443,720953746.7873983
Southern Co.,Alabama Power Co.,2.0,2007,0-30%,renter,117075.28276688243,940254134.0101593
Southern Co.,Alabama Power Co.,2.0,2007,100%+,owner,483880.3312066496,46255007460.218025
Southern Co.,Alabama Power Co.,2.0,2007,100%+,renter,103398.88924876788,7243815632.39925
Southern Co.,Alabama Power Co.,2.0,2007,30-60%,owner,100659.56917344489,1941238667.9509292
Southern Co.,Alabama Power Co.,2.0,2007,30-60%,renter,76697.395951816,1445437574.294165
Southern Co.,Alabama Power Co.,2.0,2007,60-80%,owner,80524.0347247735,2413627584.827037
Southern Co.,Alabama Power Co.,2.0,2007,60-80%,renter,44300.67927612824,1299111861.978033
Southern Co.,Alabama Power Co.,2.0,2007,80-100%,owner,77805.59606415954,3025102676.9939914
Southern Co.,Alabama Power Co.,2.0,2007,80-100%,renter,32693.16854758982,1236717935.4996183
Southern Co.,Alabama Power Co.,2.0,2006,0-30%,owner,84539.72988402283,679796960.8943242
Southern Co.,Alabama Power Co.,2.0,2006,0-30%,renter,115819.91478824803,887715429.812154
Southern Co.,Alabama Power Co.,2.0,2006,100%+,owner,478691.8075581748,43738373203.93194
Southern Co.,Alabama Power Co.,2.0,2006,100%+,renter,102290.16970078502,6847197747.475138
Southern Co.,Alabama Power Co.,2.0,2006,30-60%,owner,99580.22264617546,1831586533.3712983
Southern Co.,Alabama Power Co.,2.0,2006,30-60%,renter,75874.98961080979,1365713864.8915179
Southern Co.,Alabama Power Co.,2.0,2006,60-80%,owner,79660.5963258655,2277585574.775965
Southern Co.,Alabama Power Co.,2.0,2006,60-80%,renter,43825.65454946786,1227738590.4525301
Southern Co.,Alabama Power Co.,2.0,2006,80-100%,owner,76971.30677995596,2855636866.626766
Southern Co.,Alabama Power Co.,2.0,2006,80-100%,renter,32342.608156491224,1168092499.2599387
Southern Co.,Alabama Power Co.,2.0,2005,0-30%,owner,83694.75684834688,649844293.8519591
Southern Co.,Alabama Power Co.,2.0,2005,0-30%,renter,114662.29688333358,850658125.1066463
Southern Co.,Alabama Power Co.,2.0,2005,100%+,owner,473907.29180042964,41722771757.84895
Southern Co.,Alabama Power Co.,2.0,2005,100%+,renter,101267.78134763511,6547768078.168328
Southern Co.,Alabama Power Co.,2.0,2005,30-60%,owner,98584.92016368541,1751380915.9337864
Southern Co.,Alabama Power Co.,2.0,2005,30-60%,renter,75116.62049381247,1307728114.5275056
Southern Co.,Alabama Power Co.,2.0,2005,60-80%,owner,78864.39013980902,2176414208.529069
Southern Co.,Alabama Power Co.,2.0,2005,60-80%,renter,43387.61794329523,1174120743.1284554
Southern Co.,Alabama Power Co.,2.0,2005,80-100%,owner,76201.97999314187,2729272347.1791997
Southern Co.,Alabama Power Co.,2.0,2005,80-100%,renter,32019.34438650799,1117093049.4494092
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,0-30%,owner,339.6042184219859,5218965.5066525815
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,0-30%,renter,846.8738100769817,12296420.722178077
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,100%+,owner,7622.168629215253,1217018626.943661
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,100%+,renter,1856.1363398592077,213191100.26913163
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,30-60%,owner,682.0551996047799,30656152.345820393
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,30-60%,renter,858.7761256196877,35131774.5317401
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,60-80%,owner,624.5580189062315,38281197.88359093
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,60-80%,renter,519.8457974966824,30026746.779225353
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,80-100%,owner,1041.3357574270547,76792647.79496576
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,80-100%,renter,509.6461033721298,35600919.31031227
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,0-30%,owner,337.14282283849644,5352416.634353652
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,0-30%,renter,840.7358078295946,12610845.335632538
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,100%+,owner,7566.924403193153,1248138301.5212786
